Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
AAPL,Apple Inc,NSD,Common Stock,USD ,2272604979200,Morgan Stanley,Target Set by,Buy,135.37,164,02/15/2021
AAPL,Apple Inc,NSD,Common Stock,USD ,2295940513792,RBC Capital,Assumes,Outperform,136.91,171,02/08/2021
AAPL,Apple Inc,NSD,Common Stock,USD ,2295940513792,RBC Capital,Target Set by,Buy,136.91,171,02/08/2021
AAPL,Apple Inc,NSD,Common Stock,USD ,2248598093824,Fundamental Research,Target Raised by,Buy,137.39,148.12,02/04/2021
AAPL,Apple Inc,NSD,Common Stock,USD ,2248598093824,Fundamental Research,Target,NA,137.39,148,02/04/2021
AAPL,Apple Inc,NSD,Common Stock,USD ,2389918089216,Needham & Company LLC,Target Raised by,Buy,137.09,170,01/28/2021
AAPL,Apple Inc,NSD,Common Stock,USD ,2389918089216,Raymond James Financial,Maintains,Outperform,137.09,160,01/28/2021
AAPL,Apple Inc,NSD,Common Stock,USD ,2389918089216,Morgan Stanley,Maintains,Overweight,137.09,164,01/28/2021
AAPL,Apple Inc,NSD,Common Stock,USD ,2389918089216,D.A. Davidson,Target Raised by,Buy,137.09,167,01/28/2021
AAPL,Apple Inc,NSD,Common Stock,USD ,2389918089216,Barclays,Target Set by,Neutral,137.09,136,01/28/2021
